SchoolID,FreeLunch,AmericanIndian,Asian,Hispanic,AfricanAmerican,White,NativeHawaiian,MoreRaces
1.0,0.3155339805825243,0.0,0.07407407407407407,0.2222222222222222,0.0,0.6666666666666666,0.0,0.0
2.0,0.3613138686131387,0.0,0.1518987341772152,0.12658227848101267,0.0379746835443038,0.6455696202531646,0.0,0.0
3.0,0.2222222222222222,0.0,0.1206896551724138,0.15517241379310345,0.06896551724137931,0.5862068965517241,0.0,0.0
4.0,0.43354430379746833,0.034782608695652174,0.11304347826086956,0.26956521739130435,0.034782608695652174,0.46956521739130436,0.0,0.0
5.0,0.5386819484240688,0.0,0.057692307692307696,0.38461538461538464,0.038461538461538464,0.4230769230769231,0.0,0.0
6.0,0.23657718120805368,0.012345679012345678,0.16049382716049382,0.1111111111111111,0.024691358024691357,0.6296296296296297,0.0,0.0
7.0,0.4128113879003559,0.011363636363636364,0.011363636363636364,0.17045454545454544,0.022727272727272728,0.7727272727272727,0.0,0.0
8.0,0.3125,0.013888888888888888,0.041666666666666664,0.1111111111111111,0.027777777777777776,0.7777777777777778,0.0,0.0
9.0,0.26153846153846155,0.0,0.0,0.04878048780487805,0.0,0.926829268292683,0.0,0.0
10.0,0.3473684210526316,0.0,0.0,0.07575757575757576,0.0,0.9242424242424242,0.0,0.0
11.0,0.32894736842105265,0.0,0.03125,0.15625,0.0,0.78125,0.0,0.0
12.0,0.7608695652173914,0.0196078431372549,0.0,0.21568627450980393,0.0196078431372549,0.7254901960784313,0.0,0.0
13.0,0.3756345177664975,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0
15.0,0.7964601769911505,0.041666666666666664,0.03125,0.2708333333333333,0.010416666666666666,0.6041666666666666,0.0,0.0
16.0,0.9256756756756757,0.00847457627118644,0.0847457627118644,0.652542372881356,0.06779661016949153,0.1694915254237288,0.0,0.0
17.0,0.6892950391644909,0.0,0.05,0.45,0.05,0.4166666666666667,0.0,0.0
18.0,0.33458646616541354,0.0,0.09278350515463918,0.26804123711340205,0.020618556701030927,0.5567010309278351,0.010309278350515464,0.05154639175257732
19.0,0.24610051993067592,0.0,0.17777777777777778,0.2,0.011111111111111112,0.5111111111111111,0.022222222222222223,0.07777777777777778
20.0,0.49326599326599324,0.0,0.009615384615384616,0.40384615384615385,0.009615384615384616,0.5096153846153846,0.009615384615384616,0.057692307692307696
21.0,0.6295652173913043,0.010526315789473684,0.031578947368421054,0.28421052631578947,0.031578947368421054,0.5684210526315789,0.042105263157894736,0.031578947368421054
22.0,0.583941605839416,0.0,0.012345679012345678,0.4444444444444444,0.0,0.43209876543209874,0.07407407407407407,0.037037037037037035
23.0,0.2488986784140969,0.0,0.1794871794871795,0.10256410256410256,0.01282051282051282,0.6410256410256411,0.0,0.0641025641025641
24.0,0.7329545454545454,0.0,0.015625,0.28125,0.015625,0.65625,0.0,0.03125
25.0,0.5652173913043478,0.0,0.07142857142857142,0.2857142857142857,0.0,0.6285714285714286,0.0,0.014285714285714285
26.0,0.4469026548672566,0.0,0.014285714285714285,0.2571428571428571,0.014285714285714285,0.6857142857142857,0.0,0.02857142857142857
27.0,0.2037351443123939,0.01904761904761905,0.0,0.13333333333333333,0.01904761904761905,0.7904761904761904,0.0,0.0380952380952381
28.0,0.4213381555153707,0.0,0.01818181818181818,0.3090909090909091,0.0,0.5727272727272728,0.01818181818181818,0.08181818181818182
29.0,0.5434027777777778,0.0,0.02727272727272727,0.2909090909090909,0.0,0.5545454545454546,0.05454545454545454,0.07272727272727272
30.0,0.18140589569160998,0.017543859649122806,0.12280701754385964,0.07017543859649122,0.0,0.7017543859649122,0.0,0.08771929824561403
31.0,0.5653495440729484,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.0,0.8918918918918919,0.0,0.0
32.0,0.870253164556962,0.0,0.0,0.3111111111111111,0.0,0.6666666666666666,0.0,0.022222222222222223
33.0,0.691358024691358,0.03333333333333333,0.016666666666666666,0.08333333333333333,0.0,0.8666666666666667,0.0,0.0
34.0,0.7584269662921348,0.0,0.017543859649122806,0.17543859649122806,0.0,0.7192982456140351,0.0,0.08771929824561403
35.0,0.5833333333333334,0.05263157894736842,0.0,0.10526315789473684,0.0,0.8421052631578947,0.0,0.0
36.0,0.7383966244725738,0.0,0.0,0.02702702702702703,0.0,0.918918918918919,0.02702702702702703,0.02702702702702703
37.0,0.5496688741721855,0.010101010101010102,0.3838383838383838,0.12121212121212122,0.10101010101010101,0.36363636363636365,0.0,0.020202020202020204
38.0,0.704772475027747,0.0,0.14432989690721648,0.29896907216494845,0.1958762886597938,0.29896907216494845,0.0,0.061855670103092786
39.0,0.48845470692717585,0.0,0.10810810810810811,0.28378378378378377,0.21621621621621623,0.35135135135135137,0.0,0.04054054054054054
40.0,0.5853932584269663,0.009345794392523364,0.2523364485981308,0.14018691588785046,0.12149532710280374,0.4205607476635514,0.0,0.056074766355140186
41.0,0.7675814751286449,0.0,0.11194029850746269,0.2835820895522388,0.2537313432835821,0.3283582089552239,0.0,0.022388059701492536
42.0,0.1828793774319066,0.0,0.0,0.039473684210526314,0.0,0.9210526315789473,0.0,0.039473684210526314
43.0,0.26744186046511625,0.0,0.009345794392523364,0.04672897196261682,0.028037383177570093,0.8878504672897196,0.0,0.028037383177570093
44.0,0.20435308343409916,0.0,0.0,0.0,0.0072992700729927005,0.9927007299270073,0.0,0.0
45.0,0.4811643835616438,0.0,0.031914893617021274,0.2553191489361702,0.031914893617021274,0.6170212765957447,0.010638297872340425,0.05319148936170213
